MX2,MX1,2364MX,1,HERBALIFE NUMERO 2 POLVO,3710053493,5710032337,66,284136700,11-oct-19,12-oct-19,32,32,999477A01,15-mar-21,Active,JB Hunt,,MX1
MX2,MX1,417UMX,0,SOUP CONTAINER,3710053493,5710032337,76,284136700,11-oct-19,12-oct-19,6,,,,,JB Hunt,,MX1
MX2,MX1,2555MX,1,HERBALIFE NUMERO 1 SABOR PLATANO,3710053493,5710032337,47,284136700,11-oct-19,12-oct-19,108,108,999414C01,14-JAN-21,Active,JB Hunt,,MX1
MX2,MX1,1829MX,1,PROBIOTIC ADVANTAGE,3710053493,5710032337,30,284136700,11-oct-19,12-oct-19,90,90,B79408A01,10-DEC-20,Active,JB Hunt,,MX1
MX2,MX1,1019MX,20,HERBAL ALOE CONCENTRADO,3710053504,5710032348,1,284136711,11-oct-19,12-oct-19,60,60,999591H20,10-jul-21,,JB Hunt,,MX1
MX2,MX1,0032MX,5,GARLIC PLUS,3710053504,5710032348,11,284136711,11-oct-19,12-oct-19,3,3,229443A05.,11-jul-20,Active,JB Hunt,,MX1
MX2,MX1,8504MX,1,I LOVE HERBALIFE BUTTON - EA - MX,3710053504,5710032348,28,284136711,11-oct-19,12-oct-19,10,,,,,JB Hunt,,MX1
MX2,MX1,6495MX,1,BINDER FOR NUTRITION CLUB,3710053504,5710032348,33,284136711,11-oct-19,12-oct-19,1,,,,,JB Hunt,,MX1
MX2,MX1,2631MX,2,HERBAL ALOE CONCENTRADO SABOR MANDARINA,3710053504,5710032348,21,284136711,11-oct-19,12-oct-19,12,12,999512D02,22-APR-21,Active,JB Hunt,,MX1
MX2,MX1,1841MX,4,XTRA-CALCIO ADVANCED,3710053501,5710032345,18,284136708,11-oct-19,12-oct-19,30,30,999494B04,04-APR-21,Active,JB Hunt,,MX1
MX2,MX1,1061MX,1,WOMAN'S CHOICE,3710053501,5710032345,54,284136708,11-oct-19,12-oct-19,26,26,2.29E+06,07-mar-21,Active,JB Hunt,,MX1
MX2,MX1,4004MX,5,HERBALIFE NUMERO 1 SABOR VAINILLA,3710053552,5710032385,13,284737244,16-oct-19,17-oct-19,84,84,1.00E+11,22-may-21,Active,JB Hunt,,MX1
MX2,MX1,4008MX,5,HERBALIFE NUMERO 1 - CHOCO MIX SABOR MOKACCINO,3710053552,5710032385,43,284737244,16-oct-19,17-oct-19,72,72,999492H05,02-APR-21,Active,JB Hunt,,MX1
MX2,MX1,1065MX,8,HERBAL ALOE CONCENTRADO - SABOR MANGO,3710053553,5710032386,13,284737393,16-oct-19,17-oct-19,288,288,999526C08,06-may-21,Active,JB Hunt,,MX1
MX2,MX1,0079MX,5,ANTI-SNACK,3710053553,5710032386,15,284737393,16-oct-19,17-oct-19,18,18,B79404A05,13-DEC-20,Active,JB Hunt,,MX1
MX2,MX3,302A,0,HLN SMALL 2 OZ  CONTAINER ( SET OF 10),3710053590,5710032392,107,284657681,16-oct-19,19-oct-19,2,,,,,,,MX3
MX2,MX1,3175MX,20,THERMOJETICS POLVO PARA PREPARAR BATIDO SABOR VAINILLA,3710053558,5710032391,5,284753567,16-oct-19,17-oct-19,120,120,D99501H20,30-mar-21,Active,JB Hunt,,MX1
MX2,MX1,602647,0,CORRUGADO 1/4,3710053542,5710032373,95,284386681,15-oct-19,16-oct-19,125,,,,,JB Hunt,,MX1
MX2,MX1,305A,0,HLN TABLET BOX-M SIZE-7 COMP (SET OF 5),3710053542,5710032373,94,284386681,15-oct-19,16-oct-19,5,,,,,JB Hunt,,MX1
MX2,MX1,0831MX,3,HERBALIFE COLAGENO,3710053542,5710032373,58,284386681,15-oct-19,16-oct-19,300,300,D99624B03,06-AUG-21,Active,JB Hunt,,MX1
MX2,MX1,2131MX,1,N-R-G TE SABOR MANZANA VERDE,3710053542,5710032373,44,284386681,15-oct-19,16-oct-19,432,432,D99543B01,15-may-21,Active,JB Hunt,,MX1
MX2,MX1,1610MX,0,HERBAL ALOE CONCENTRADO SABOR UVA,3710053542,5710032373,33,284386681,15-oct-19,16-oct-19,576,576,999492J00,03-APR-21,Active,JB Hunt,,MX1
MX2,MX1,044KMX,0,INFUSION HERBAL,3710053493,5710032337,92,284136700,11-oct-19,12-oct-19,120,120,D99610G00,25-jul-21,Active,JB Hunt,,MX1
MX2,MX1,0773MX,2,HERBALIFE SKIN MASCARILLA LIMPIADORA DE ARCILLA CON MENTA,3710053502,5710032346,46,284136709,11-oct-19,12-oct-19,10,10,579494D02,30-APR-21,Active,JB Hunt,,MX1
MX2,MX1,0963MX,4,THERMOJETICS CONCENTRADO DE HIERBAS  51 G,3710053502,5710032346,23,284136709,11-oct-19,12-oct-19,480,480,D99530D04,23-APR-21,Active,JB Hunt,,MX1
MX2,MX1,0079MX,5,ANTI-SNACK,3710053558,5710032391,14,284753567,16-oct-19,17-oct-19,26,26,B79404A05,13-DEC-20,Active,JB Hunt,,MX1
MX2,MX1,8796MX,1,SMART SHAKER DELUXE (H24),3710053558,5710032391,72,284753567,16-oct-19,17-oct-19,2,,,,,JB Hunt,,MX1
MX2,MX1,602190,0,BAG FOR ULTIMATE,3710053558,5710032391,67,284753567,16-oct-19,17-oct-19,6,,,,,JB Hunt,,MX1
MX2,MX1,4000MX,6,HERBALIFE NUMERO 1 SABOR COOKIES & CREAM,3710053558,5710032391,4,284753567,16-oct-19,17-oct-19,540,540,D99514F06,22-APR-21,Active,JB Hunt,,MX1
MX2,MX1,1412MX,5,HERBALIFE 24 HERBALIFE NUMERO 1 SPORT SABOR VAINILLA,3710053558,5710032391,16,284753567,16-oct-19,17-oct-19,2,2,999445A05,11-feb-21,Active,JB Hunt,,MX1
MX2,MX1,0039MX,16,PRELOX AZUL,3710053500,5710032343,38,284136707,11-oct-19,12-oct-19,6,6,369543B16,08-APR-21,Active,JB Hunt,,MX1
MX2,MX1,1094MX,9,SCHIZANDRA PLUS,3710053500,5710032343,18,284136707,11-oct-19,12-oct-19,14,14,369502H09,04-mar-21,,JB Hunt,,MX1
MX2,MX1,1428MX,2,TE VERDE SABOR GRANADA 48 G,3710053552,5710032385,28,284737244,16-oct-19,17-oct-19,64,64,D99557E02,06-jun-21,Active,JB Hunt,,MX1
MX2,MX1,0364MX,4,BARRA CON PROTEINA DELUXE SABOR VAINILLA CON ALMENDRAS,3710053540,5710032372,37,284386680,15-oct-19,16-oct-19,12,12,G29541A,21-may-20,Active,JB Hunt,,MX1
MX2,MX1,2864MX,8,ACTIVE FIBER COMPLEX SABOR MANZANA,3710053487,5710032334,12,284136696,11-oct-19,12-oct-19,480,480,D99514B08,18-APR-21,Active,JB Hunt,,MX1
MX2,MX1,602784,0,PIN EQUIPO MUNDO,3710053487,5710032334,83,284136696,11-oct-19,12-oct-19,1,,,,,JB Hunt,,MX1
MX2,MX1,602785,1,DIPLOMA EN COUCHE WT,3710053487,5710032334,84,284136696,11-oct-19,12-oct-19,1,,,,,JB Hunt,,MX1
MX2,MX1,1019MX,20,HERBAL ALOE CONCENTRADO,3710053493,5710032337,2,284136700,11-oct-19,12-oct-19,1260,1260,999590D20,09-jul-21,Active,JB Hunt,,MX1
MX2,MX1,8602E,5,PLASTIC BAGS-LARGE (EA),3710053493,5710032337,73,284136700,11-oct-19,12-oct-19,1000,,,,,JB Hunt,,MX1
MX2,MX1,0032MX,5,GARLIC PLUS,3710053493,5710032337,25,284136700,11-oct-19,12-oct-19,100,100,229451A05.,11-jul-20,Active,JB Hunt,,MX1
MX2,MX1,3115MX,8,HERBALIFE NUMERO 2,3710053499,5710032344,6,284136706,11-oct-19,12-oct-19,6,6,229492C08,16-mar-21,Active,JB Hunt,,MX1
